transaction_id,customer_id,transaction_amount,transaction_type
10000,101,154.67,debit
10001,102,456.23,transfer
10002,103,89.12,credit
10003,101,110.50,debit
10004,102,789.45,transfer
10005,105,50000.00,cash_deposit
10006,107,123.45,debit
10007,103,567.89,credit
10008,102,222.22,debit
10009,101,345.67,transfer
10010,105,55.55,debit
10011,107,78.90,credit
10012,103,876.54,transfer
10013,101,5000.00,debit
10014,108,98.76,credit
10015,106,43.21,debit
10016,105,543.21,transfer
10017,107,65.43,debit
10018,103,876.54,credit
10019,109,15.78,debit
10020,101,432.10,transfer
10021,105,987.65,cash_deposit
10022,107,32.10,credit
10023,103,210.98,debit
10024,104,765.43,transfer
